Entropy extraction table for possibly-biased dice rolls.

* Start in state S00
* Roll 1 die 4 times (the same die every time), but treat 4 as 3.
* Find the row with those 4 rolls on the left in the column with your current state
* Go to the new state listed there, and output the bits listed after the comma (if any)
* Repeat

Produces 2.722 bits of entropy per 4 rolls if the die is unbiased.

      S00:       S01:       S02:       S03:       S04:       S05:       S06:       S07:       S08:       S09:       S10:       S11:       S12:       S13:       S14:
3550: S08,010    S05,010    S05,0101   S01,10     S00,10     S01,110    S00,101    S01,101    S00,110    S00,1101   S01,1101   S00,101    S00,1011   S00,1101   S00,11011 
5550: S08,10     S05,10     S05,101    S01,010    S00,010    S01,10     S00,0101   S01,0101   S00,10     S00,101    S01,101    S00,0101   S00,01011  S00,101    S00,1011  
0001: S00,0      S02        S02,1      S03,0      S06        S05,0      S06,1      S03,10     S09        S09,1      S05,10     S06,1      S06,11     S09,1      S09,11    
1001: S00,10     S02,0      S02        S03,10     S06,0      S05,10     S06        S03,110    S09,0      S09        S05,110    S06,10     S06,1      S09,10     S09,1     
2001: S02,1      S00,10     S00,110    S06,0      S03,00     S09,0      S03,010    S06        S05,00     S05,010    S09        S03,0      S03,10     S05,0      S05,10    
3001: S06,11     S03,110    S03,1110   S02,11     S00,110    S02,111    S00,1110   S02,111    S00,1110   S00,11110  S02,1111   S00,1110   S00,11110  S00,11110  S00,111110
5001: S09,11     S05,110    S05,1110   S02,011    S00,0110   S02,11     S00,01110  S02,0111   S00,110    S00,1110   S02,111    S00,01110  S00,011110 S00,1110   S00,11110 
0101: S00,00     S02,1      S02,11     S03,00     S06,1      S05,00     S06,11     S03,100    S09,1      S09,11     S05,100    S06,11     S06,111    S09,11     S09,111   
1101: S00,0      S02,01     S02,1      S03,0      S06,01     S05,0      S06,1      S03,10     S09,01     S09,1      S05,10     S06,101    S06,11     S09,101    S09,11    
2101: S02,11     S00,100    S00,10     S06,01     S03,000    S09,01     S03,00     S06,1      S05,000    S05,00     S09,1      S03,00     S03,0      S05,00     S05,0     
3101: S06,111    S03,1010   S03,110    S02,111    S00,1010   S02,1111   S00,110    S02,1111   S00,11010  S00,1110   S02,11111  S00,11010  S00,1110   S00,111010 S00,11110 
5101: S09,111    S05,1010   S05,110    S02,0111   S00,01010  S02,111    S00,0110   S02,01111  S00,1010   S00,110    S02,1111   S00,011010 S00,01110  S00,11010  S00,1110  
0201: S02,0      S00,00     S00,100    S06,1      S03,10     S09,1      S03,110    S06,11     S05,10     S05,110    S09,11     S03,110    S03,1110   S05,110    S05,1110  
1201: S02,01     S00,000    S00,00     S06,11     S03,010    S09,11     S03,10     S06,111    S05,010    S05,10     S09,111    S03,1010   S03,110    S05,1010   S05,110   
2201: S00,0      S02        S02,1      S03,010    S06,01     S05,010    S06,011    S03,10     S09,01     S09,011    S05,10     S06,1      S06,11     S09,1      S09,11    
3201: S03,1110   S06,111    S06,1111   S00,1010   S02,101    S00,11010  S02,1011   S00,110    S02,1101   S02,11011  S00,1110   S02,11     S02,111    S02,111    S02,1111  
5201: S05,1110   S09,111    S09,1111   S00,01010  S02,0101   S00,1010   S02,01011  S00,0110   S02,101    S02,1011   S00,110    S02,011    S02,0111   S02,11     S02,111   
0301: S06,01     S03,010    S03,1010   S02,01     S00,010    S02,011    S00,1010   S02,101    S00,0110   S00,10110  S02,1011   S00,1010   S00,11010  S00,10110  S00,110110
1301: S06,011    S03,0010   S03,010    S02,011    S00,0010   S02,0111   S00,010    S02,1011   S00,00110  S00,0110   S02,10111  S00,10010  S00,1010   S00,100110 S00,10110 
2301: S03,0110   S06,011    S06,0111   S00,0010   S02,001    S00,00110  S02,0011   S00,010    S02,0011   S02,00111  S00,0110   S02,01     S02,011    S02,011    S02,0111  
3301: S00,0      S02        S02,1      S03,0      S06        S03,10     S06,1      S03,10     S06,1      S06,11     S03,110    S06,1      S06,11     S06,11     S06,111   
5301: S00,10     S02,1      S02,11     S03,00     S06,0      S03,0      S06,01     S03,010    S06        S06,1      S03,10     S06,01     S06,011    S06,1      S06,11    
0501: S09,01     S05,010    S05,1010   S02,001    S00,0010   S02,01     S00,10010  S02,1001   S00,010    S00,1010   S02,101    S00,10010  S00,110010 S00,1010   S00,11010 
1501: S09,011    S05,0010   S05,010    S02,0011   S00,00010  S02,011    S00,0010   S02,10011  S00,0010   S00,010    S02,1011   S00,100010 S00,10010  S00,10010  S00,1010  
2501: S05,0110   S09,011    S09,0111   S00,00010  S02,0001   S00,0010   S02,00011  S00,0010   S02,001    S02,0011   S00,010    S02,001    S02,0011   S02,01     S02,011   
3501: S00,00     S02,0      S02,01     S05,0      S09        S05,10     S09,1      S05,10     S09,1      S09,11     S05,110    S09,1      S09,11     S09,11     S09,111   
5501: S00,0      S02        S02,1      S05,00     S09,0      S05,0      S09,01     S05,010    S09        S09,1      S05,10     S09,01     S09,011    S09,1      S09,11    
0011: S00        S02,0      S02,10     S03        S06,0      S05        S06,10     S03,1      S09,0      S09,10     S05,1      S06,10     S06,110    S09,10     S09,110   
1011: S00,1      S02,00     S02,0      S03,1      S06,00     S05,1      S06,0      S03,11     S09,00     S09,0      S05,11     S06,100    S06,10     S09,100    S09,10    
